Título;Investimento mínimo
Tesouro Selic 2028;R$ 172,17
Tesouro Selic 2031;R$ 171,39
Tesouro Prefixado 2028;R$ 7,47
Tesouro Prefixado 2032;R$ 4,41
Tesouro Prefixado com Juros Semestrais 2035;R$ 8,22
Tesouro IPCA+ 2029;R$ 34,46
Tesouro IPCA+ com Juros Semestrais 2035;R$ 41,75
Tesouro IPCA+ 2040;R$ 16,26
Tesouro IPCA+ com Juros Semestrais 2045;R$ 40,57
Tesouro IPCA+ 2050;R$ 8,52
Tesouro IPCA+ com Juros Semestrais 2060;R$ 38,99
Tesouro Renda+ Aposentadoria Extra 2030;R$ 18,12
Tesouro Renda+ Aposentadoria Extra 2035;R$ 13,08
Tesouro Renda+ Aposentadoria Extra 2040;R$ 9,43
Tesouro Renda+ Aposentadoria Extra 2045;R$ 6,78
Tesouro Renda+ Aposentadoria Extra 2050;R$ 4,84
Tesouro Renda+ Aposentadoria Extra 2055;R$ 3,43
Tesouro Renda+ Aposentadoria Extra 2060;R$ 2,42
Tesouro Renda+ Aposentadoria Extra 2065;R$ 1,72
Tesouro Educa+ 2026;R$ 36,68
Tesouro Educa+ 2027;R$ 34,19
Tesouro Educa+ 2028;R$ 31,88
Tesouro Educa+ 2029;R$ 29,74
Tesouro Educa+ 2030;R$ 27,74
Tesouro Educa+ 2031;R$ 25,89
Tesouro Educa+ 2032;R$ 24,20
Tesouro Educa+ 2033;R$ 22,67
Tesouro Educa+ 2034;R$ 21,27
Tesouro Educa+ 2035;R$ 19,93
Tesouro Educa+ 2036;R$ 18,69
Tesouro Educa+ 2037;R$ 17,53
Tesouro Educa+ 2038;R$ 16,42
Tesouro Educa+ 2039;R$ 15,39
Tesouro Educa+ 2040;R$ 14,39
Tesouro Educa+ 2041;R$ 13,46
Tesouro Educa+ 2042;R$ 12,59
Tesouro Educa+ 2043;R$ 11,81
